Trialid,expTime,gambleDelay,gambleRT,outcomeRT,response,standardGamble,trialNumber,uniqueid
32,,4639.980903,612,0,gamble,2,52,244
36,,6262.743819,520,0,gamble,6,53,244
24,,6207.900046,0,0,fail,4,54,244
23,,3077.752675,0,491,success,3,55,244
6,,5773.776168,0,0,earlyFail,6,56,244
3,,3029.763985,0,380,success,3,57,244
22,,5706.568833,0,478,success,2,58,244
2,,1141.878076,0,530,success,2,59,244
2,,3992.632668,0,478,success,2,60,244
25,,5048.413837,0,335,success,5,61,244
25,,1052.540649,0,0,fail,5,62,244
21,,915.6844301,0,391,success,1,63,244
26,,1118.182957,0,416,success,6,64,244
31,,5032.566687,504,0,gamble,1,65,244
3,,1007.298944,0,393,success,3,66,244
22,,6117.97728,0,416,success,2,67,244
6,,0,0,627,success,6,68,244
36,,6054.06673,0,0,fail,6,69,244
1,,3059.98218,0,353,success,1,70,244
21,,6117.094177,0,472,success,1,71,244
33,,2949.148604,477,0,gamble,3,72,244
21,,5872.017586,0,399,success,1,73,244
1,,1040.790049,0,362,success,1,74,244
4,,1144.323465,0,0,earlyFail,4,75,244
6,,6118.081256,0,537,success,6,76,244
35,,6148.938532,482,0,gamble,5,77,244
22,,2852.76843,0,346,success,2,78,244
75,,1886.648022,659,0,gamble,5,79,244
4,,0,0,424,success,4,80,244
22,,6209.995606,0,450,success,2,81,244
25,,3038.14041,0,417,success,5,82,244
35,,6024.408504,0,569,success,5,83,244
23,,5772.909455,0,396,success,3,84,244
3,,0,0,553,success,3,85,244
35,,947.5501493,609,0,gamble,5,86,244
3,,5960.830127,0,472,success,3,87,244
26,,6218.231974,0,412,success,6,88,244
2,,2919.701067,0,467,success,2,89,244
24,,5888.056758,0,574,success,4,90,244
6,,951.3373406,0,486,success,6,91,244
5,,6111.6746,0,474,success,5,92,244
25,,6277.104532,0,403,success,5,93,244
3,,5730.856815,0,548,success,3,94,244
2,,0,0,377,success,2,95,244
33,,4735.0708,0,427,success,3,96,244
1,,5859.057985,0,473,success,1,97,244
32,,4987.236811,624,0,gamble,2,98,244
32,1766084,1120.113665,569,0,gamble,2,99,244
34,,5576.258319,0,197,success,4,1,245
3,,0,0,271,success,3,2,245
26,,1052.123425,0,431,success,6,3,245
31,,3046.906867,0,475,success,1,4,245
4,,5745.009735,0,521,success,4,5,245
3,,6173.416726,0,0,fail,3,6,245
36,,2884.462605,0,0,earlyFail,6,7,245
1,,2972.909191,0,400,success,1,8,245
21,,978.0686879,0,560,success,1,9,245
33,,5247.01826,754,0,gamble,3,10,245
6,,5947.252163,0,415,success,6,11,245
75,,1845.505625,0,0,earlyFail,5,12,245
25,,6248.548048,0,643,success,5,13,245
33,,5122.980532,0,428,success,3,14,245
24,,6257.589455,0,725,success,4,15,245
24,,1038.322307,0,0,fail,4,16,245
2,,5834.080741,0,483,success,2,17,245
6,,1004.672786,0,592,success,6,18,245
25,,909.9559382,0,624,success,5,19,245
21,,6178.513591,0,540,success,1,20,245
1,,5983.514728,0,786,success,1,21,245
33,,3033.563886,0,501,success,3,22,245
3,,988.9053037,0,779,success,3,23,245
34,,5942.813169,0,470,success,4,24,245
2,,2860.99721,0,0,fail,2,25,245
32,,1041.669631,0,0,fail,2,26,245
4,,0,0,0,fail,4,27,245
3,,5819.886028,0,0,fail,3,28,245
34,,1012.467538,0,476,success,4,29,245
22,,6087.53665,0,749,success,2,30,245
32,,2789.485807,0,0,fail,2,31,245
23,,5912.134524,0,749,success,3,32,245
5,,6066.257013,0,518,success,5,33,245
2,,6111.878647,0,610,success,2,34,245
1,,0,0,629,success,1,35,245
