,BonusAmount,Trialid,action,design,difficulty,engagement,expTime,gambleDelay,gambleRT,gender,ignoreRT,indexOf,interest,length,outcomeRT,phase,response,standardGamble,status,template,templates,trialNumber,uniqueid,viewTime
133,,34,,,,,,3.93014809,0,,1461,,,,325,,success,4,,,,38,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
134,,4,,,,,,3.930233861,0,,1517,,,,346,,success,4,,,,39,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
135,,86,,,,,,6.75,0,,1567,,,,352,,success,6,,,,40,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
136,,3,,,,,,3.97485626,0,,1331,,,,279,,success,3,,,,41,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
137,,21,,,,,,6.75,0,,1449,,,,312,,success,1,,,,42,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
138,,33,,,,,,1.902235667,0,,1378,,,,363,,success,3,,,,43,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
139,,24,,,,,,2.04117041,0,,1415,,,,358,,success,4,,,,44,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
140,,2,,,,,,6.75,0,,1504,,,,404,,success,2,,,,45,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
141,,26,,,,,,1.998305643,0,,1494,,,,314,,success,6,,,,46,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
142,,25,,,,,,4.033795616,0,,1331,,,,389,,success,5,,,,47,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
143,,31,,,,,,6.75,0,,1443,,,,347,,success,1,,,,48,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
144,,86,,,,,,2.007638096,0,,1232,,,,388,,success,6,,,,49,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
145,,6,,,,,,1.988526433,0,,1291,,,,418,,success,6,,,,50,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
146,,24,,,,,,3.967019326,0,,1200,,,,416,,success,4,,,,51,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
147,,3,,,,,,6.75,0,,1258,,,,328,,success,3,,,,52,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
148,,6,,,,,,0,0,,1258,,,,368,,success,6,,,,53,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
149,,5,,,,,,4.034129525,0,,1295,,,,385,,success,5,,,,54,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
150,,1,,,,,,3.979987063,0,,1563,,,,375,,success,1,,,,55,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
151,,5,,,,,,6.260356345,0,,1565,,,,418,,success,5,,,,56,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
152,,5,,,,,,0,0,,1565,,,,448,,success,5,,,,57,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
153,,31,,,,,,6.249487577,0,,1231,,,,383,,success,1,,,,58,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
154,,1,,,,,,0,0,,1231,,,,459,,success,1,,,,59,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
155,,25,,,,,,2.089135257,0,,1964,,,,296,,success,5,,,,60,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
156,,34,,,,,,6.75,0,,1372,,,,392,,success,4,,,,61,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
157,,31,,,,,,2.11778476,0,,1537,,,,406,,success,1,,,,62,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
158,,22,,,,,,6.517702367,0,,1357,,,,407,,success,2,,,,63,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
159,,36,,,,,,2.140810727,0,,1420,,,,400,,success,6,,,,64,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
160,,32,,,,,,4.034120523,0,,1425,,,,477,,success,2,,,,65,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
161,,6,,,,,,6.329700771,0,,1710,,,,384,,success,6,,,,66,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
162,,35,,,,,,4.016724917,0,,1374,,,,450,,success,5,,,,67,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
163,,21,,,,,,6.294039426,0,,1361,,,,425,,success,1,,,,68,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
164,,2,,,,,,0,0,,1361,,,,434,,success,2,,,,69,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
