Trialid,expTime,gambleDelay,gambleRT,outcomeRT,response,standardGamble,trialNumber,uniqueid
2,,0,0,404,success,2,51,234
22,,6122.278584,0,306,success,2,52,234
4,,5844.598414,0,386,success,4,53,234
3,,5917.587305,0,380,success,3,54,234
34,,1001.688938,0,0,earlyFail,4,55,234
5,,0,0,381,success,5,56,234
21,,6202.170597,0,375,success,1,57,234
1,,0,0,466,success,1,58,234
36,,5672.608444,0,449,success,6,59,234
31,,6085.720016,0,523,success,1,60,234
35,,2979.317125,0,517,success,5,61,234
4,,1113.938727,0,432,success,4,62,234
25,,3025.18561,0,445,success,5,63,234
25,,5001.525724,0,613,success,5,64,234
36,,6250.73374,0,482,success,6,65,234
5,,5777.273441,0,0,fail,5,66,234
26,,4885.604817,0,434,success,6,67,234
21,,1122.555442,0,0,fail,1,68,234
24,,896.471193,0,530,success,4,69,234
32,,5119.590881,0,363,success,2,70,234
34,,5923.525953,0,371,success,4,71,234
2,,5963.657948,0,488,success,2,72,234
2,,6183.353343,0,0,fail,2,73,234
26,,4832.614939,0,464,success,6,74,234
35,,5747.100034,0,0,earlyFail,5,75,234
24,,5628.304236,0,346,success,4,76,234
24,,6184.731963,0,323,success,4,77,234
6,,5732.649343,0,372,success,6,78,234
33,,4628.137351,0,512,success,3,79,234
4,,2963.376712,0,459,success,4,80,234
4,,0,0,374,success,4,81,234
22,,1073.812648,0,364,success,2,82,234
32,,5300.942859,0,417,success,2,83,234
1,,6268.79676,0,0,fail,1,84,234
2,,5741.620279,0,424,success,2,85,234
34,,5725.07668,0,434,success,4,86,234
1,,1050.974103,0,0,fail,1,87,234
23,,1012.121162,0,282,success,3,88,234
3,,0,0,335,success,3,89,234
36,,3106.282531,0,364,success,6,90,234
36,,956.4105299,0,0,earlyFail,6,91,234
4,,6280.988306,0,167,success,4,92,234
22,,5714.501026,0,0,earlyFail,2,93,234
6,,0,0,403,success,6,94,234
35,,1017.213861,0,394,success,5,95,234
2,,0,0,411,success,2,96,234
6,,1250.328499,0,414,success,6,97,234
5,,5948.615559,0,0,earlyFail,5,1,235
25,,4844.728487,0,0,earlyFail,5,2,235
1,,6285.106011,0,0,earlyFail,1,3,235
34,,3003.815566,0,136,success,4,4,235
1,,6157.436677,0,0,earlyFail,1,5,235
1,,5794.78833,0,0,earlyFail,1,6,235
35,,6081.909443,0,0,earlyFail,5,7,235
26,,4851.888187,0,0,earlyFail,6,8,235
3,,6069.427485,0,0,fail,3,9,235
4,,999.4262767,0,0,earlyFail,4,10,235
23,,5768.120578,0,0,fail,3,11,235
2,,5691.159032,0,0,earlyFail,2,12,235
6,,6072.872356,0,0,fail,6,13,235
5,,0,0,0,earlyFail,5,14,235
3,,3023.577443,0,0,fail,3,15,235
24,,5928.752154,0,0,earlyFail,4,16,235
34,,6213.030156,0,0,earlyFail,4,17,235
3,,5637.989219,0,0,earlyFail,3,18,235
33,,4729.669257,0,0,earlyFail,3,19,235
3,,0,0,0,earlyFail,3,20,235
33,,984.0919734,0,0,earlyFail,3,21,235
3,,0,0,0,earlyFail,3,22,235
36,,1130.273695,0,0,earlyFail,6,23,235
22,,5923.215725,0,0,fail,2,24,235
23,,6233.399755,0,0,earlyFail,3,25,235
35,,6298.304895,0,0,earlyFail,5,26,235
24,,5719.833553,0,0,fail,4,27,235
2,,3902.71591,0,0,earlyFail,2,28,235
35,,1040.908665,0,0,fail,5,29,235
5,,2973.244122,0,0,earlyFail,5,30,235
86,,1958.16772,0,0,fail,6,31,235
26,,962.2020542,0,0,earlyFail,6,32,235
2,,6192.901634,506,0,gamble,2,33,235
36,,6085.820217,0,0,earlyFail,6,34,235
31,,5050.341758,0,0,earlyFail,1,35,235
22,,3018.265054,0,0,earlyFail,2,36,235
2,,6184.814193,0,0,earlyFail,2,37,235
4,,0,0,0,fail,4,38,235
22,,5640.873612,0,0,earlyFail,2,39,235
21,,3040.949335,0,0,earlyFail,1,40,235
26,,4679.623974,0,0,fail,6,41,235
3,,6231.963642,0,0,fail,3,42,235
34,,5678.452801,755,0,gamble,4,43,235
24,,2930.141133,0,0,fail,4,44,235
21,,6118.446344,0,0,earlyFail,1,45,235
21,,6242.311626,0,0,fail,1,46,235
5,,0,0,0,earlyFail,5,47,235
32,,2937.51658,0,0,earlyFail,2,48,235
1,,2971.549909,0,0,earlyFail,1,49,235
6,,3064.229753,0,0,earlyFail,6,50,235
3,,813.1622293,0,0,earlyFail,3,51,235
5,,6138.704556,0,0,earlyFail,5,52,235
21,,866.1788329,0,0,earlyFail,1,53,235
22,,1028.097708,0,0,earlyFail,2,54,235
6,,5662.587762,0,0,earlyFail,6,55,235
32,,4662.892124,0,0,earlyFail,2,56,235
31,,4781.232871,0,0,earlyFail,1,57,235
31,,6273.922346,0,0,earlyFail,1,58,235
