Trialid,expTime,gambleDelay,gambleRT,outcomeRT,response,standardGamble,trialNumber,uniqueid
3,,0,0,336,success,3,54,206
26,,4769.12201,0,358,success,6,55,206
26,,2989.30812,0,272,success,6,56,206
34,,5600,0,553,success,4,57,206
5,,916.820472,0,388,success,5,58,206
26,,5600,0,281,success,6,59,206
22,,5600,0,424,success,2,60,206
33,,4738.715239,0,379,success,3,61,206
21,,835.5693154,0,337,success,1,62,206
31,,964.2206601,0,398,success,1,63,206
23,,3154.829102,0,432,success,3,64,206
31,,5600,0,413,success,1,65,206
35,,976.0907375,0,406,success,5,66,206
24,,5600,0,331,success,4,67,206
2,,3072.752001,0,311,success,2,68,206
1,,5600,0,274,success,1,69,206
33,,851.2610689,0,496,success,3,70,206
33,,5056.531579,0,324,success,3,71,206
6,,0,0,315,success,6,72,206
2,,5600,0,353,success,2,73,206
32,,3076.236766,0,328,success,2,74,206
2,,3880.278363,0,329,success,2,75,206
36,,1047.800996,0,341,success,6,76,206
5,,0,0,371,success,5,77,206
21,,5600,0,414,success,1,78,206
22,,3043.481766,0,353,success,2,79,206
1,,0,0,364,success,1,80,206
2,,949.8933003,0,387,success,2,81,206
36,,3142.509026,0,385,success,6,82,206
6,,5498.651181,0,725,success,6,83,206
3,,5600,0,344,success,3,84,206
33,,3039.920839,0,356,success,3,85,206
6,,950.8384031,0,353,success,6,86,206
4,,5600,0,343,success,4,87,206
23,,5600,0,319,success,3,88,206
21,,5600,0,326,success,1,89,206
21,,5600,0,357,success,1,90,206
35,,5600,0,386,success,5,91,206
31,,4687.509779,0,384,success,1,92,206
4,,1265.133553,0,378,success,4,93,206
4,,5600,0,348,success,4,94,206
24,,965.4924393,0,394,success,4,95,206
23,,5600,0,315,success,3,96,206
22,,5600,0,363,success,2,97,206
23,,5600,0,392,success,3,98,206
34,,3003.5036,0,442,success,4,99,206
25,,2963.904962,0,329,success,5,100,206
3,,0,0,387,success,3,101,206
4,,0,0,358,success,4,102,206
35,,5600,0,380,success,5,103,206
22,,1057.291313,0,337,success,2,104,206
25,1857811,4931.381024,0,349,success,5,105,206
